"Subject" "Activity" "Variable" "Average"
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_Y" -0.450979810499568
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_Z" -0.597496136795101
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_X" -0.0971120197265994
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_Y" -0.0417164808293948
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_Z" -0.0471393985477522
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_X" -0.637812687210375
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_Y" -0.634472244550432
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_Z" -0.664591977786455
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_X" -0.531895161258213
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_Y" -0.406435448904438
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_Z" -0.596411165253602
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_X" -0.553060616663401
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_Y" -0.39015093964706
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_Z" -0.498583091676081
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_X" -0.547348892435764
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Y" -0.507343617969859
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Z" -0.695305113832853
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_X" -0.543979776127867
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Y" -0.466251676533372
1 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Z" -0.737861932680115
1 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_X" -0.623219182311527
1 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_Y" -0.505309434070029
1 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_Z" -0.553529065425648
1 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_X" -0.708263420861671
1 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_Y" -0.429825832648703
1 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_Z" -0.650476162132565
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_X" 0.27311311578808
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Y" -0.0191323183174834
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Z" -0.115649958175497
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_X" -0.605586497159271
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Y" -0.428962986589404
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Z" -0.589360062210596
2 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_X" 0.660782866688742
2 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Y" -0.147219886910411
2 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Z" 0.134865335090728
2 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_X" -0.963015508245033
2 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Y" -0.960033560165563
2 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Z" -0.945365383907285
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_X" 0.0785353156747351
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Y" 0.00708771249764901
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Z" 0.000755760748377483
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_X" -0.557809603123841
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Y" -0.491875889831788
2 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Z" -0.741885388311258
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_X" -0.0517030657821192
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_Y" -0.0568420186817881
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_Z" 0.0872599422291391
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_X" -0.710648927815894
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_Y" -0.722943674337748
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_Z" -0.634888927843046
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_X" -0.0875587491668874
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_Y" -0.0433986835453642
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_Z" -0.0557541828188742
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_X" -0.671679103311258
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_Y" -0.783595466728477
2 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_Z" -0.674611933293046
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_X" -0.57377091142947
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_Y" -0.432566581302351
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_Z" -0.630081222124834
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_X" -0.619788102803311
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_Y" -0.464723862913245
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_Z" -0.600678614835099
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_X" -0.561682049622185
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Y" -0.50890379901457
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Z" -0.715745330403973
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_X" -0.595105612895033
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Y" -0.509147543673841
2 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Z" -0.767087015496689
2 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_X" -0.638717694593046
2 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_Y" -0.722068978635762
2 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_Z" -0.601594889654305
2 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_X" -0.734588540182119
2 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_Y" -0.72716774102649
2 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_Z" -0.683114494539735
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_X" 0.273428719636364
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Y" -0.017856067384956
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Z" -0.106492632429097
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_X" -0.623413602046921
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Y" -0.480015920697654
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Z" -0.653625579293255
3 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_X" 0.707814353343108
3 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Y" -0.0260590480328739
3 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Z" 0.0480937904190616
3 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_X" -0.966457565630499
3 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Y" -0.9445645371261
3 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Z" -0.926966278211144
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_X" 0.0701731261988856
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Y" 0.0144664329060411
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Z" -0.000526818872875366
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_X" -0.635484688041056
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Y" -0.55721186773783
3 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Z" -0.796066240234604
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_X" -0.0248490682828446
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_Y" -0.0743565308442815
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_Z" 0.0866875497119062
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_X" -0.699262195705865
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_Y" -0.76302218170088
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_Z" -0.709483440322581
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_X" -0.0991554609633431
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_Y" -0.0401923943695015
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_Z" -0.0521178264170088
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_X" -0.689328428607038
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_Y" -0.842659862111437
3 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_Z" -0.743028500565982
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_X" -0.625733289873607
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_Y" -0.501779938505279
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_Z" -0.699656828592375
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_X" -0.623805015199413
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_Y" -0.502753639795894
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_Z" -0.657443765803519
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_X" -0.645893496630499
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Y" -0.582949919157742
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Z" -0.780101644193548
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_X" -0.657844055881525
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Y" -0.559851186088408
3 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Z" -0.81080601659824
3 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_X" -0.642097719778592
3 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_Y" -0.775144985073314
3 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_Z" -0.670734708996481
3 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_X" -0.719276622702346
3 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_Y" -0.758505287214076
3 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_Z" -0.751008875659824
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_X" 0.277034464752577
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Y" -0.0133496817746907
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Z" -0.105916135927835
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_X" -0.68386446609433
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Y" -0.589609330539691
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Z" -0.741959040257732
4 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_X" 0.731456509896907
4 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Y" 0.072347989306416
4 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Z" 0.193993433768041
4 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_X" -0.967576704329897
4 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Y" -0.94170652321134
4 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Z" -0.936724233273196
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_X" 0.0780162237953608
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Y" -0.0010311298138299
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Z" -0.00737070069603093
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_X" -0.701066737438144
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Y" -0.670976701376289
4 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Z" -0.859502524793814
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_X" -0.0298726752979381
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_Y" -0.0750086556675258
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_Z" 0.0956607416628866
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_X" -0.750915960835052
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_Y" -0.828888294742268
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_Z" -0.745904225824742
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_X" -0.10509869233866
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_Y" -0.0410624426912371
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_Z" -0.060866534304433
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_X" -0.77847958572165
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_Y" -0.911436316752577
4 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_Z" -0.790578254329897
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_X" -0.698994344226804
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_Y" -0.610966605674742
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_Z" -0.784964119020618
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_X" -0.679316495457474
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_Y" -0.60587907902268
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_Z" -0.739920171907216
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_X" -0.717973724971649
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Y" -0.684648403917526
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Z" -0.845383895412371
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_X" -0.710952957814433
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Y" -0.679116699128866
4 "WALKING" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Z" -0.872348615876289
4 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_X" -0.70809700327835
4 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_Y" -0.851859241237113
4 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_Z" -0.723913683350515
4 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_X" -0.765931837365979
4 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_Y" -0.818105282886598
4 "WALKING" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_Z" -0.778863649278351
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_X" 0.269685855146341
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Y" -0.0171085099442602
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Z" -0.110053359325203
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_X" -0.481157815330894
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Y" -0.384255322007236
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Z" -0.658285719430894
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_X" 0.667377493902439
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Y" 0.176064219895122
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Z" 0.117030634772358
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_X" -0.954845868211382
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Y" -0.940959838617886
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Z" -0.948783616341463
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_X" 0.080200587601626
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Y" 0.0106812194621382
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Z" -0.00737856315243902
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_X" -0.522686832030976
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Y" -0.446980128646341
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Z" -0.817881987560976
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_X" -0.027473566188374
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_Y" -0.0845813729861789
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_Z" 0.0958069867471545
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_X" -0.623295736308943
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_Y" -0.749889456666667
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_Z" -0.695570737073171
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_X" -0.112213469653659
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_Y" -0.0384344734528455
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_MEAN_Z" -0.0529863681443902
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_X" -0.637528066829268
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_Y" -0.888412003333333
4 "WALKING_UPSTAIRS" "TIME_DOMAIN_BODY_GYROSCOPE_JERK_STDDEV_Z" -0.681795418349594
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_X" -0.518103409715447
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_Y" -0.391561268041463
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_MEAN_Z" -0.708346275365854
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_X" -0.468588371045528
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_Y" -0.422334649479756
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_STDDEV_Z" -0.659623483821138
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_X" -0.548003358486179
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Y" -0.470861077819187
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Z" -0.793248930406504
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_X" -0.540002452644715
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Y" -0.459377588636585
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Z" -0.841927060081301
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_X" -0.537445270313821
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_Y" -0.799459630325203
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_MEAN_Z" -0.634729117447154
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_X" -0.652062731170732
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_Y" -0.727336206422764
4 "WALKING_UPSTAIRS" "FREQUENCY_DOMAIN_BODY_GYROSCOPE_STDDEV_Z" -0.748519078617886
5 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_X" 0.279177960301325
5 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Y" -0.0154833455336192
5 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Z" -0.105661736816887
5 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_X" -0.507691011391722
5 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Y" -0.402724906078146
5 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Z" -0.646443640175497
5 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_X" 0.698153719072848
5 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Y" 0.112313109736755
5 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Z" 0.0921607197449904
5 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_X" -0.964629108807947
5 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Y" -0.939973777950331
5 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Z" -0.94207867884106
